symbol,month_start,month_end,direction,raw_momentum,vol_annualised,target_weight,month_return_unweighted,month_return_weighted
GBPUSD,2014-09-01,2014-10-01,BUY,0.04964355234218987,0.038491867984151634,2.5979513397783993,-0.02563176243203702,-0.06659007155119222
GBPUSD,2014-10-01,2014-11-03,BUY,0.014843941075762368,0.05999066776325341,1.6669259357911974,-0.012686465710083805,-0.021147398725664384
GBPUSD,2014-11-03,2014-12-01,SELL,-0.003995910581370832,0.07381615121902506,1.3547170686708254,0.015779669529724982,0.02137698764990337
GBPUSD,2014-12-01,2015-01-02,SELL,-0.03946187245424504,0.07138035664216116,1.4009456481327596,0.02640886429485012,0.0369973835059989
GBPUSD,2015-01-02,2015-02-02,SELL,-0.06454153109872607,0.07461107167127881,1.340283657103595,0.019092523258829708,0.025589396896679727
GBPUSD,2015-02-02,2015-03-02,SELL,-0.08581728869407679,0.07430025863779481,1.3458903351533198,-0.021238511807128546,-0.028584707774253978
GBPUSD,2015-03-02,2015-04-01,SELL,-0.07547328767947625,0.07940686259377744,1.2593369985107095,0.03651230569948183,0.04598129746829092
GBPUSD,2015-04-01,2015-05-01,SELL,-0.11684164114541751,0.09086217029737027,1.1005680325786165,-0.02144936721395896,-0.02360648787472309
GBPUSD,2015-05-01,2015-06-01,SELL,-0.10199375137096345,0.0976970524830974,1.0235723336412943,-0.0033949825316305082,-0.0034750101925724686
GBPUSD,2015-06-01,2015-07-01,SELL,-0.09281421042264792,0.10171030116577601,0.9831845826216913,-0.026622519949278223,-0.02617485116466876
GBPUSD,2015-07-01,2015-08-03,SELL,-0.08852321216967973,0.08996348566934663,1.1115620882848154,0.0019249772211027416,0.0021397316997896643
GBPUSD,2015-08-03,2015-09-01,SELL,-0.0729026002224854,0.07546362402909819,1.3251417658054798,0.018481485838267364,0.024490588778430585
GBPUSD,2015-09-01,2015-10-01,SELL,-0.05550857657813346,0.07076249096686352,1.4131780641643572,0.011475258127206178,0.016216583065991535
GBPUSD,2015-10-01,2015-11-02,SELL,-0.058934036676702495,0.07195496846758297,1.389758096343991,-0.018624353726492404,-0.0258833463805672
GBPUSD,2015-11-02,2015-12-01,SELL,-0.03142848166881351,0.07619896664391783,1.3123537549702713,0.022275422099022446,0.02923323383519987
GBPUSD,2015-12-01,2016-01-04,SELL,-0.04015225776883791,0.07471651991493722,1.3383921000850596,0.024645470791685664,0.03298530341046917
GBPUSD,2016-01-04,2016-02-01,SELL,-0.029126149542821667,0.07973812642559185,1.2541052126841186,0.019811791446073812,0.0248460709251318
GBPUSD,2016-02-01,2016-03-01,SELL,-0.053904150003278195,0.08413148980230678,1.1886155853769051,0.03441404373974066,0.040905068744898264
GBPUSD,2016-03-01,2016-04-01,SELL,-0.06547383792981021,0.09179699110591008,1.089360324290213,-0.01931742293768235,-0.021043634115844843
GBPUSD,2016-04-01,2016-05-02,SELL,-0.03059729462673344,0.10791424429154219,0.9266617271566024,-0.030418898839951414,-0.028188029337231347
GBPUSD,2016-05-02,2016-06-01,SELL,-0.0635877994140962,0.09994221006339231,1.0005782335268656,0.017934824086087042,0.017945194602672056
GBPUSD,2016-06-01,2016-07-01,SELL,-0.071050613249805,0.09484588385428093,1.0543420118646134,0.08697586726998496,0.09170231088110553
GBPUSD,2016-07-01,2016-08-01,SELL,-0.14364319758205146,0.21627206423340514,0.4623805684495525,0.006421057425201715,0.0029689721823119887
