version,session_at_entry,symbol,trades,wins,losses,flats,wr_pct,wr_ci_low_pct,wr_ci_high_pct,total_pnl,avg_pnl,avg_win,avg_loss,rr_ratio,profit_factor,underpowered
v3,London,USDJPY,3,1,2,0,33.33,6.15,79.23,-178.94,-59.65,85.51,-132.23,0.647,0.323,True
v3,London,XAUUSD,7,6,1,0,85.71,48.69,97.43,862.0,123.14,629.0,-2912.0,0.216,1.296,True
v3,NY,AUDUSD,2,1,1,0,50.0,9.45,90.55,-245.4,-122.7,20.0,-265.4,0.075,0.075,True
v3,NY,EURUSD,3,1,2,0,33.33,6.15,79.23,-735.4,-245.13,65.0,-400.2,0.162,0.081,True
v3,NY,GBPUSD,5,2,3,0,40.0,11.76,76.93,-673.4,-134.68,39.9,-251.07,0.159,0.106,True
v3,NY,USDCAD,3,3,0,0,100.0,43.85,100.0,64.24,21.41,21.41,,,,True
v3,NY,USDCHF,2,2,0,0,100.0,34.24,100.0,51.33,25.66,25.66,,,,True
v3,NY,USDJPY,4,3,1,0,75.0,30.06,95.44,-55.77,-13.94,56.92,-226.53,0.251,0.754,True
v3,NY,XAUUSD,27,21,6,0,77.78,59.24,89.39,17554.2,650.16,1397.04,-1963.93,0.711,2.49,False
v3,Off-hours,EURUSD,2,2,0,0,100.0,34.24,100.0,179.0,89.5,89.5,,,,True
v3,Off-hours,GBPUSD,1,0,1,0,0.0,0.0,79.35,-272.2,-272.2,,-272.2,,,True
v3,Off-hours,USDCAD,1,0,1,0,0.0,0.0,79.35,-158.88,-158.88,,-158.88,,,True
v3,Off-hours,USDJPY,1,1,0,0,100.0,20.65,100.0,121.69,121.69,121.69,,,,True
v3,Off-hours,XAUUSD,6,5,1,0,83.33,43.65,96.99,13362.6,2227.1,2673.04,-2.6,1028.092,5140.462,True
v3,Overlap,AUDUSD,1,1,0,0,100.0,20.65,100.0,20.0,20.0,20.0,,,,True
v3,Overlap,EURUSD,1,1,0,0,100.0,20.65,100.0,149.0,149.0,149.0,,,,True
v3,Overlap,GBPUSD,2,1,1,0,50.0,9.45,90.55,-178.0,-89.0,20.0,-198.0,0.101,0.101,True
v3,Overlap,USDCAD,3,1,2,0,33.33,6.15,79.23,-275.48,-91.83,14.7,-145.09,0.101,0.051,True
v3,Overlap,USDCHF,1,1,0,0,100.0,20.65,100.0,25.54,25.54,25.54,,,,True
v3,Overlap,USDJPY,1,1,0,0,100.0,20.65,100.0,12.53,12.53,12.53,,,,True
v3,Overlap,XAUUSD,15,7,8,0,46.67,24.81,69.88,-18455.0,-1230.33,759.71,-2971.62,0.256,0.224,False
