id,time,scan_number,symbol,timeframe,price,rsi_14,atr_14,macd,macd_signal,bb_position,sma_20,sma_50,ema_12,ema_26,volatility_10,return_1,return_5,volume_ratio,h1_trend,h4_trend,signal_fired,signal_action,signal_strategy,feat_return_1,feat_return_2,feat_return_3,feat_return_5,feat_return_10,feat_return_20,feat_sma_10,feat_close_vs_sma_10,feat_sma_20,feat_close_vs_sma_20,feat_sma_50,feat_close_vs_sma_50,feat_sma_100,feat_close_vs_sma_100,feat_sma_200,feat_close_vs_sma_200,feat_ema_12,feat_ema_26,feat_ema_50,feat_sma_10_50_diff,feat_sma_20_100_diff,feat_sma_50_200_diff,feat_ema_12_26_diff,feat_rsi_7,feat_rsi_14,feat_rsi_21,feat_macd_line,feat_macd_signal,feat_macd_hist,feat_roc_5,feat_roc_10,feat_roc_20,feat_atr_7,feat_atr_7_pct,feat_atr_14,feat_atr_14_pct,feat_atr_28,feat_atr_28_pct,feat_bb_width,feat_bb_position,feat_volatility_10,feat_volatility_20,feat_candle_body_ratio,feat_candle_direction,feat_upper_shadow_ratio,feat_lower_shadow_ratio,feat_consecutive_direction,feat_price_position_10,feat_price_position_20,feat_price_position_50,feat_dist_from_high_20,feat_dist_from_low_20,feat_volume_ratio,feat_volume_change,feat_hour,feat_day_of_week,feat_session_london,feat_session_ny,feat_session_asia,feat_hour_sin,feat_hour_cos,feat_dow_sin,feat_dow_cos,feat_rsi_14_lag1,feat_macd_hist_lag1,feat_return_1_lag1,feat_rsi_14_lag2,feat_macd_hist_lag2,feat_return_1_lag2,feat_rsi_14_lag3,feat_macd_hist_lag3,feat_return_1_lag3,feat_rsi_14_change,feat_macd_hist_change,feat_rsi_14_dist_50,feat_rsi_7_dist_50,feat_atr_ratio_20,feat_spread_vs_atr,feat_price_vs_high_20_atr,feat_price_vs_low_20_atr,feat_macd_hist_vs_atr,feat_body_vs_atr
3343,2026-04-07 14:05:00.689997,51,EURUSD,M15,1.15583,57.57153610661245,0.0011123297114768874,,0.000400274143410809,0.7633506147380992,0.001081777718496869,0.0018714174144968732,0.0005008615977185782,,0.07877897053054593,-0.00018165461402719352,-0.0013133451419191644,1.1509846827133479,UP,DOWN,0,,,-0.000182,-0.000138,0.000364,-0.001313,0.002159,0.001464,1.155296,0.000462,1.154581,0.001082,1.153671,0.001871,1.154602,0.001063,1.153158,0.002317,1.155268,1.154689,1.154293,0.001409,-1.9e-05,0.000445,0.000501,58.349562,57.571536,56.22063,0.000578,0.0004,0.000178,-0.131335,0.215895,0.146429,0.001374,0.001189,0.001286,0.001112,0.001267,0.001096,0.004108,0.763351,0.078779,0.057652,0.212121,-1.0,0.454545,0.333333,-1.0,0.627706,0.664717,0.756028,-0.001488,0.00295,1.150985,-0.319911,16.0,1.0,0.0,1.0,0.0,-0.866025,-0.5,0.951057,0.309017,59.064607,0.000212,4.3e-05,58.82854,0.000221,0.000502,56.101718,0.000218,-0.000726,-1.493071,-3.4e-05,7.571536,8.349562,1.089811,0.0,-1.33783,2.652326,0.138501,0.16334
3344,2026-04-07 14:05:01.233897,51,GBPUSD,M15,1.3237700000000001,49.76200232942695,0.0013334429798454249,,0.0005145846869754811,0.4865738602444509,-6.080747032986568e-05,0.0008961240141275693,0.00036046908455210277,,0.12028675244125926,-0.0002718766284276475,-0.002080616344899755,0.19348080596463121,UP,DOWN,0,,,-0.000272,-0.000951,-0.000604,-0.002081,0.000393,3.8e-05,1.324761,-0.000748,1.323851,-6.1e-05,1.322585,0.000896,1.323817,-3.6e-05,1.32503,-0.000951,1.324336,1.323859,1.323449,0.001645,2.5e-05,-0.001845,0.00036,45.801953,49.762002,50.640666,0.000477,0.000515,-3.7e-05,-0.208062,0.039297,0.003777,0.001892,0.001429,0.001765,0.001333,0.001668,0.00126,0.004529,0.486574,0.120287,0.085761,0.580645,-1.0,0.258065,0.16129,-2.0,0.288722,0.359079,0.564857,-0.003573,0.002002,0.193481,-0.908943,17.0,1.0,0.0,1.0,0.0,-0.965926,-0.258819,0.951057,0.309017,51.120087,4.9e-05,-0.000679,54.577899,0.000139,0.000347,53.071367,0.000171,0.000227,-1.358085,-8.6e-05,-0.237998,-4.198047,1.153862,2266.068362,-2.679626,1.50127,-0.021173,0.203946
3345,2026-04-07 14:05:01.860703,51,USDJPY,M15,159.922,58.63846322321501,0.0008425761842181798,,0.04225464999150941,0.8616026765873304,0.0009977303824548213,0.0015979521360914312,0.0003283270462456305,,0.07346262703924496,0.00021264885419780555,0.0017978513483885017,0.12392193275360248,UP,UP,0,,,0.000213,0.000889,0.000576,0.001798,0.001164,0.001484,159.7749,0.000921,159.7626,0.000998,159.66686,0.001598,159.48188,0.00276,159.504215,0.002619,159.792621,159.740174,159.670023,0.000677,0.00176,0.00102,0.000328,62.642175,58.638463,57.21144,0.052447,0.042255,0.010192,0.179785,0.116442,0.148417,0.134038,0.000838,0.134746,0.000843,0.139108,0.00087,0.002759,0.861603,0.073463,0.055297,0.85,1.0,0.125,0.025,2.0,0.989107,0.982684,0.98722,-5e-05,0.002839,0.123922,-0.920303,17.0,1.0,0.0,1.0,0.0,-0.965926,-0.258819,0.951057,0.309017,57.381738,0.003763,0.000676,53.186306,-0.003925,-0.000313,55.536598,-0.00543,0.000282,1.256725,0.006429,8.638463,12.642175,1.010611,7.421345,-0.059371,3.369291,0.075641,0.252326
3346,2026-04-07 14:05:02.792748,51,XAUUSD,M15,4646.71,46.30741657562336,0.005831321551662651,,-1.878318759885387,0.31910998000952373,-0.0017070006577285495,-0.0016307500590851782,-0.00044557249416665365,,0.2816397062082425,-0.001059841260286798,-0.0077196414157159055,0.8978606602278487,UP,DOWN,1,SELL,ml_direct,-0.00106,-0.002807,-0.001178,-0.00772,-0.000669,-0.004601,4656.617,-0.002128,4654.6555,-0.001707,4654.3,-0.001631,4662.74,-0.003438,4576.6221,0.015314,4655.725001,4657.800389,4658.245066,0.000498,-0.001734,0.016973,-0.000446,43.391103,46.307417,47.503743,-2.075388,-1.878319,-0.197069,-0.771964,-0.066884,-0.460136,27.152359,0.005843,27.09646,0.005831,28.87608,0.006214,0.009437,0.31911,0.28164,0.243548,0.279004,-1.0,0.645727,0.075269,-2.0,0.330719,0.389471,0.524074,-0.010283,0.006559,0.897861,-0.274178,16.0,1.0,0.0,1.0,0.0,-0.866025,-0.5,0.951057,0.309017,47.745652,0.505524,-0.001749,50.135966,1.108839,0.001634,47.876391,1.177287,-0.004014,-1.438236,-0.702593,-3.692583,-6.608897,1.023458,0.147621,-1.76333,1.12487,-0.007273,0.181943
3347,2026-04-07 14:05:03.380557,51,AUDUSD,M15,0.69332,57.606912537613994,0.001750667924312842,,0.00043041936733891566,0.7553776334125116,0.0017323560475698053,0.00301692073863219,0.000872517460203343,,0.12659882826219063,-0.0006342250922508619,-0.001799674618828906,1.1744171195844981,UP,DOWN,0,,,-0.000634,-0.000418,0.000606,-0.0018,0.003212,0.002748,0.692891,0.000619,0.692121,0.001732,0.691235,0.003017,0.691028,0.003317,0.689644,0.00533,0.692833,0.692229,0.691649,0.002396,0.001582,0.002306,0.000873,57.099473,57.606913,56.971995,0.000604,0.00043,0.000174,-0.179967,0.321227,0.274797,0.001328,0.001916,0.001214,0.001751,0.001156,0.001668,0.006784,0.755378,0.126599,0.095239,0.419048,-1.0,0.257143,0.32381,-1.0,0.618812,0.695652,0.788752,-0.002221,0.005077,1.174417,-0.33792,16.0,1.0,0.0,1.0,0.0,-0.866025,-0.5,0.951057,0.309017,60.982031,0.000216,0.000216,60.244698,0.000214,0.001025,56.643606,0.000205,-0.001614,-3.375118,-4.2e-05,7.606913,7.099473,1.149415,0.0,-1.268771,2.900048,0.142994,0.362506
3348,2026-04-07 14:05:03.960607,51,USDCAD,M15,1.39242,53.761813162314894,0.0007022803135551206,,-0.00017898070279583251,0.8007863631168738,0.0005123204812508566,-0.00016902961062745223,-8.181278507510723e-05,,0.038362861476101566,0.0006971145208234386,0.0009848675460983891,0.8129683573858708,DOWN,UP,0,,,0.000697,0.000913,0.000223,0.000985,0.000273,0.000431,1.391803,0.000443,1.391707,0.000512,1.392655,-0.000169,1.391698,0.000519,1.390463,0.001408,1.391811,1.391925,1.392061,-0.000612,6e-06,0.001577,-8.2e-05,58.91878,53.761813,52.019157,-0.000114,-0.000179,6.5e-05,0.098487,0.027298,0.043109,0.001056,0.000759,0.000978,0.000702,0.000945,0.000679,0.001703,0.800786,0.038363,0.033687,0.924528,1.0,0.056604,0.018868,2.0,0.79646,0.804196,0.479167,-0.000402,0.001652,0.812968,-0.43388,16.0,1.0,0.0,1.0,0.0,-0.866025,-0.5,0.951057,0.309017,46.232129,1e-05,0.000216,43.594191,2.4e-05,-0.00069,51.034098,7.6e-05,0.000187,7.529684,5.5e-05,3.761813,8.91878,1.095838,1022.631705,-0.572674,2.352053,0.066577,1.002179
3349,2026-04-07 14:05:04.537514,51,USDCHF,M15,0.80058,60.76910949511301,0.0012037459809055467,,0.00014952841019965659,0.9682893699186699,0.002036415158338393,0.001763327689149803,0.00043076934071559794,,0.07550687840275068,0.0005248950209957304,0.002529553195752321,0.17336939653261205,DOWN,UP,0,,,0.000525,0.00115,0.001489,0.00253,0.002504,0.003221,0.799336,0.001556,0.798953,0.002036,0.799171,0.001763,0.798182,0.003004,0.797868,0.003399,0.799427,0.799083,0.7989,0.000207,0.000966,0.001633,0.000431,68.546689,60.769109,57.556965,0.000344,0.00015,0.000195,0.252955,0.250445,0.322051,0.000967,0.001207,0.000964,0.001204,0.000983,0.001227,0.004349,0.968289,0.075507,0.065821,0.843137,1.0,0.156863,0.0,3.0,0.954386,0.965969,0.786972,-0.000162,0.004609,0.173369,-0.908108,17.0,1.0,0.0,1.0,0.0,-0.965926,-0.258819,0.951057,0.309017,58.454936,0.000154,0.000625,55.556869,0.000116,0.000338,53.945979,9.7e-05,-0.000175,2.314174,4.1e-05,10.769109,18.546689,1.020486,2075.345507,-0.134897,3.829012,0.202027,0.446199
3350,2026-04-07 15:05:13.559644,52,EURUSD,M15,1.15767,66.2760744235475,0.0011626575458471553,,0.0004786883114239896,1.0197342004549792,0.002517833753693996,0.0033772662812299433,0.0006573120263186134,,0.08097752304081635,0.0011415228953171042,0.001228108108108028,1.3830286692210998,UP,DOWN,0,,,0.001142,0.00141,0.001453,0.001228,0.003337,0.002694,1.155733,0.001676,1.154762,0.002518,1.153773,0.003377,1.154585,0.002672,1.153166,0.003906,1.155705,1.154946,1.154445,0.001698,0.000154,0.000527,0.000657,73.285666,66.276074,62.53789,0.000759,0.000479,0.00028,0.122811,0.333674,0.269367,0.001482,0.00128,0.001346,0.001163,0.001297,0.001121,0.004844,1.019734,0.080978,0.060228,0.619718,1.0,0.079812,0.300469,4.0,0.965377,0.968635,0.976839,-0.000147,0.004535,1.383029,-0.260687,17.0,1.0,0.0,1.0,0.0,-0.965926,-0.258819,0.951057,0.309017,60.573985,0.000211,0.000268,59.064607,0.000212,4.3e-05,58.82854,0.000221,0.000502,5.702089,6.9e-05,16.276074,23.285666,1.142089,0.0,-0.126303,3.900522,0.208378,0.980703
3351,2026-04-07 15:05:14.309790,52,GBPUSD,M15,1.32429,51.527153707295774,0.0013897753992638169,,0.0005208743867131442,0.5584848032218646,0.0002662512392012295,0.0012369070066699007,0.0003709732685961559,,0.12039342706327102,-0.0002566754489933265,1.5102660333443652e-05,0.20666915938679084,UP,DOWN,0,,,-0.000257,0.000121,-0.000558,1.5e-05,0.000937,0.000665,1.324971,-0.000514,1.323937,0.000266,1.322654,0.001237,1.323747,0.00041,1.324981,-0.000521,1.324441,1.32395,1.323515,0.001752,0.000144,-0.001756,0.000371,49.006872,51.527154,51.913322,0.000491,0.000521,-3e-05,0.00151,0.093723,0.066495,0.001998,0.001509,0.00184,0.00139,0.001712,0.001293,0.004552,0.558485,0.120393,0.085867,0.723404,-1.0,0.085106,0.191489,-1.0,0.284014,0.429539,0.612695,-0.003179,0.002394,0.206669,-0.902875,18.0,1.0,0.0,1.0,0.0,-1.0,-0.0,0.951057,0.309017,52.905216,1.8e-05,0.000378,51.120087,4.9e-05,-0.000679,54.577899,0.000139,0.000347,-1.378062,-4.7e-05,1.527154,-0.993128,1.18506,0.0,-2.287465,1.72239,-0.01615,0.184736
3352,2026-04-07 15:05:14.953701,52,USDJPY,M15,160.017,61.93475470147422,0.0008715227474211735,,0.04789858204371009,0.9742470034180342,0.0014810957667823195,0.002126286061127675,0.0004283357153802985,,0.07405790029471435,0.00039386323568013637,0.0014519510592359008,0.1954093776527572,UP,UP,0,,,0.000394,0.000807,0.001483,0.001452,0.00154,0.002023,159.8027,0.001341,159.78035,0.001481,159.67748,0.002126,159.4989,0.003248,159.50698,0.003197,159.831306,159.762874,159.684836,0.000784,0.001765,0.001069,0.000428,68.087939,61.934755,59.613566,0.068432,0.047899,0.020534,0.145195,0.15397,0.202262,0.142094,0.000888,0.139458,0.000872,0.141492,0.000884,0.003123,0.974247,0.074058,0.05582,0.910448,1.0,0.044776,0.044776,3.0,0.994565,0.994565,0.99581,-1.9e-05,0.003431,0.195409,-0.892766,18.0,1.0,0.0,1.0,0.0,-1.0,-0.0,0.951057,0.309017,59.755387,0.012235,0.000413,57.381738,0.003763,0.000676,53.186306,-0.003925,-0.000313,2.179368,0.008299,11.934755,18.087939,1.043964,0.0,-0.021512,3.936656,0.147238,0.437406
3353,2026-04-07 15:05:15.710154,52,XAUUSD,M15,4654.67,49.069006691008276,0.006376573562804365,,-1.9705350906579984,0.5097949902680852,9.271119217454952e-05,-5.4608837669021654e-05,-0.00046585045711149066,,0.284225428224045,0.00228679708444135,-0.003483238919789078,1.3715705913310392,DOWN,DOWN,0,,,0.002287,0.000651,-0.001099,-0.003483,-0.001082,-0.001219,4655.847,-0.000253,4654.2385,9.3e-05,4654.9242,-5.5e-05,4663.5783,-0.00191,4577.77575,0.016797,4655.216421,4657.386066,4658.004644,0.000198,-0.002003,0.016853,-0.000466,49.491462,49.069007,49.19923,-2.169645,-1.970535,-0.19911,-0.348324,-0.108161,-0.121879,32.212838,0.006921,29.680846,0.006377,30.117253,0.00647,0.009465,0.509795,0.284225,0.246733,0.196122,1.0,0.124838,0.67904,1.0,0.543401,0.543401,0.587319,-0.008555,0.010181,1.371571,-0.143,17.0,1.0,0.0,1.0,0.0,-0.965926,-0.258819,0.951057,0.309017,45.566823,-0.366824,-0.001632,47.745652,0.505524,-0.001749,50.135966,1.108839,0.001634,3.502183,0.167714,-0.930993,-0.508538,1.118667,0.134767,-1.341606,1.596653,-0.006708,0.357807
