id,time,symbol,action,price,stop_loss,take_profit,atr,rsi,strategy,status,reason,ml_confidence,ml_threshold,ticket,strategy_version,feat_return_1,feat_return_2,feat_return_3,feat_return_5,feat_return_10,feat_return_20,feat_sma_10,feat_close_vs_sma_10,feat_sma_20,feat_close_vs_sma_20,feat_sma_50,feat_close_vs_sma_50,feat_sma_100,feat_close_vs_sma_100,feat_sma_200,feat_close_vs_sma_200,feat_ema_12,feat_ema_26,feat_ema_50,feat_sma_10_50_diff,feat_sma_20_100_diff,feat_sma_50_200_diff,feat_ema_12_26_diff,feat_rsi_7,feat_rsi_14,feat_rsi_21,feat_macd_line,feat_macd_signal,feat_macd_hist,feat_roc_5,feat_roc_10,feat_roc_20,feat_atr_7,feat_atr_7_pct,feat_atr_14,feat_atr_14_pct,feat_atr_28,feat_atr_28_pct,feat_bb_width,feat_bb_position,feat_volatility_10,feat_volatility_20,feat_candle_body_ratio,feat_candle_direction,feat_upper_shadow_ratio,feat_lower_shadow_ratio,feat_consecutive_direction,feat_price_position_10,feat_price_position_20,feat_price_position_50,feat_dist_from_high_20,feat_dist_from_low_20,feat_volume_ratio,feat_volume_change,feat_hour,feat_day_of_week,feat_session_london,feat_session_ny,feat_session_asia,feat_hour_sin,feat_hour_cos,feat_dow_sin,feat_dow_cos,feat_rsi_14_lag1,feat_macd_hist_lag1,feat_return_1_lag1,feat_rsi_14_lag2,feat_macd_hist_lag2,feat_return_1_lag2,feat_rsi_14_lag3,feat_macd_hist_lag3,feat_return_1_lag3,feat_rsi_14_change,feat_macd_hist_change,feat_rsi_14_dist_50,feat_rsi_7_dist_50,feat_atr_ratio_20,feat_spread_vs_atr,feat_price_vs_high_20_atr,feat_price_vs_low_20_atr,feat_macd_hist_vs_atr,feat_body_vs_atr
74,2026-03-18 08:32:08.396621,USDCHF,SELL,0.78719,0.78752,0.7867,0.00033,82.77,bollinger_bounce,EXECUTED,,,,55788728220.0,,-8.9e-05,0.000623,0.000915,0.00168,0.002585,0.002139,0.786173,0.001294,0.785704,0.001891,0.785264,0.002452,0.785663,0.001944,0.786994,0.000249,0.78626,0.785814,0.785625,0.001157,5.2e-05,-0.002198,0.000568,89.907849,82.77473,75.005182,0.000446,0.00025,0.000196,0.167967,0.258546,0.213874,0.000376,0.000478,0.000326,0.000414,0.000334,0.000424,0.003583,1.027789,0.023248,0.020858,0.4375,-1.0,0.1875,0.375,-1.0,0.872,0.872,0.910615,-0.000407,0.002769,0.273584,-0.84593,10.0,2.0,1.0,0.0,0.0,0.5,-0.866025,0.587785,-0.809017,85.383598,0.000185,0.000712,80.915261,0.000144,0.000292,78.396515,0.00012,6.4e-05,-2.608868,1e-05,,,,,,,,
75,2026-03-18 08:47:04.136645,GBPUSD,BUY,1.3342100000000001,1.33356,1.33519,0.00065,34.06,bollinger_bounce,RISK_REJECTED,No money,,,,,-0.000255,-0.000165,-0.00113,-0.000741,-0.002415,-0.00122,1.335563,-0.001013,1.336097,-0.001412,1.335767,-0.001166,1.334942,-0.000548,1.332296,0.001437,1.335436,1.335726,1.335566,-0.000153,0.000866,0.002605,-0.000217,25.361077,34.059755,39.179561,-0.00029,1.2e-05,-0.000301,-0.074146,-0.241506,-0.122021,0.000743,0.000557,0.00065,0.000487,0.000624,0.000468,0.002764,-0.011033,0.031062,0.027366,0.829268,-1.0,0.04878,0.121951,-1.0,0.035821,0.035821,0.035821,-0.002421,9e-05,0.156141,-0.874534,10.0,2.0,1.0,0.0,0.0,0.5,-0.866025,0.587785,-0.809017,36.476766,-0.000275,9e-05,34.964226,-0.000246,-0.000966,45.865734,-0.000169,0.00018,-2.417011,-2.6e-05,,,,,,,,
76,2026-03-18 09:05:00.991168,USDJPY,BUY,158.985,158.8158,159.83102,0.1692,58.57,ml_filtered_sma,RISK_REJECTED,Unsupported filling mode,,,,,0.000226,0.00143,0.001512,0.001096,0.000478,0.000686,158.8869,0.000617,158.93365,0.000323,159.08246,-0.000613,159.18967,-0.001286,158.67541,0.001951,158.899668,158.969856,159.046399,-0.001229,-0.001608,0.002565,-0.000442,58.569889,50.505298,48.723479,-0.070188,-0.077937,0.007749,0.109564,0.047826,0.068607,0.162888,0.001025,0.169204,0.001064,0.178166,0.001121,0.002628,0.622948,0.052552,0.043782,0.555556,1.0,0.444444,0.0,4.0,0.730769,0.730769,0.449462,-0.000969,0.002629,0.093978,-0.913255,11.0,2.0,1.0,0.0,0.0,0.258819,-0.965926,0.587785,-0.809017,48.853992,-0.004617,0.001203,38.793684,-0.019133,8.2e-05,38.023217,-0.0201,0.000284,1.651306,0.012366,,,,,,,,
77,2026-03-18 09:47:03.240225,EURUSD,BUY,1.15372,1.15297,1.15497,0.00063,50.0,macd_crossover,EXECUTED,,,,55789593507.0,,-8.7e-05,0.000208,0.001033,0.00098,-2.6e-05,-0.000373,1.152953,0.000665,1.153644,6.6e-05,1.153671,4.3e-05,1.153202,0.000449,1.151083,0.002291,1.153347,1.153485,1.153455,-0.000622,0.000383,0.002248,-0.000119,56.76314,52.393215,51.653099,-0.000137,-0.000163,2.5e-05,0.09804,-0.0026,-0.037257,0.000687,0.000596,0.000625,0.000542,0.000593,0.000514,0.002915,0.522747,0.045472,0.034064,0.434783,-1.0,0.434783,0.130435,-1.0,0.902655,0.631579,0.631579,-0.001031,0.001768,0.200781,-0.850178,11.0,2.0,1.0,0.0,0.0,0.258819,-0.965926,0.587785,-0.809017,53.426041,-1.7e-05,0.000295,50.335062,-9.1e-05,0.000824,40.004279,-0.000165,-0.000616,-1.032826,4.3e-05,,,,,,,,
78,2026-03-18 10:02:03.455368,GBPUSD,BUY,1.3358400000000001,1.33502,1.3372,0.00068,50.0,macd_crossover,EXECUTED,,,,55789737063.0,,-9.7e-05,-7.5e-05,0.000412,0.000637,0.000479,-0.000696,1.335248,0.000443,1.335942,-7.6e-05,1.335789,3.8e-05,1.335124,0.000536,1.332581,0.002445,1.33557,1.335699,1.335578,-0.000405,0.000612,0.002407,-9.7e-05,54.822527,51.3099,51.193621,-0.000129,-0.00013,0.0,0.063671,0.047933,-0.069571,0.000717,0.000537,0.00068,0.000509,0.000649,0.000486,0.002825,0.473105,0.038667,0.032848,0.590909,-1.0,0.090909,0.318182,-1.0,0.866337,0.522388,0.522388,-0.001198,0.00131,0.11046,-0.880292,12.0,2.0,1.0,0.0,0.0,0.0,-1.0,0.587785,-0.809017,52.51139,-3.8e-05,2.2e-05,52.2719,-0.000106,0.000487,46.882482,-0.000202,0.000764,-1.20149,3.8e-05,,,,,,,,
79,2026-03-18 10:02:04.351189,NZDUSD,BUY,0.58624,0.58576,0.58703,0.0004,50.0,macd_crossover,EXECUTED,,,,55789737399.0,,-8.5e-05,-0.000119,0.000256,0.000188,0.000683,-0.000392,0.585912,0.00056,0.586223,2.9e-05,0.585993,0.000421,0.585665,0.000981,0.585015,0.002094,0.586086,0.586075,0.585963,-0.000139,0.000952,0.001672,2e-05,55.492432,52.692558,52.371166,1.2e-05,0.0,1.1e-05,0.018767,0.068278,-0.039218,0.00038,0.000649,0.000397,0.000677,0.000413,0.000704,0.003378,0.508584,0.041577,0.039028,0.5,-1.0,0.4,0.1,-2.0,0.880734,0.492308,0.59919,-0.001689,0.001638,0.100221,-0.86039,12.0,2.0,1.0,0.0,0.0,0.0,-1.0,0.587785,-0.809017,53.489447,-1e-06,-3.4e-05,53.791609,-2.5e-05,0.000375,50.962103,-6.3e-05,0.000837,-0.79689,1.2e-05,,,,,,,,
80,2026-03-18 10:05:00.570303,USDJPY,BUY,158.97,158.80228,159.8086,0.16772,57.17,ml_filtered_sma,RISK_REJECTED,Unsupported filling mode,,,,,0.000371,0.000132,0.001335,0.001701,-0.000604,0.000239,158.8699,0.00063,158.93185,0.00024,159.07342,-0.00065,159.1875,-0.001366,158.682485,0.001812,158.900855,158.964791,159.040615,-0.001279,-0.001606,0.002464,-0.000402,57.174033,50.034175,48.433389,-0.063936,-0.076081,0.012145,0.170132,-0.060352,0.02391,0.159884,0.001006,0.16772,0.001055,0.177221,0.001115,0.002622,0.591535,0.046835,0.043928,0.936508,1.0,0.031746,0.031746,1.0,0.775,0.704545,0.433333,-0.001063,0.002535,0.05518,-0.935263,12.0,2.0,1.0,0.0,0.0,0.0,-1.0,0.587785,-0.809017,47.192039,0.003027,-0.000239,48.853992,-0.004617,0.001203,38.793684,-0.019133,8.2e-05,2.842136,0.009119,,,,,,,,
81,2026-03-18 10:47:05.373256,XAUUSD,BUY,4979.43,4970.84456,4992.30817,8.58544,34.82,rsi_reversal,EXECUTED,,,,55790430988.0,,0.000307,-0.000604,-0.00187,-0.002736,-0.00195,-0.003642,4986.541,-0.001426,4995.1085,-0.003139,4996.9252,-0.003501,5001.5003,-0.004413,5005.48125,-0.005205,4987.627257,4992.156924,4995.903768,-0.002078,-0.001278,-0.001709,-0.000907,27.815092,34.817523,38.438986,-4.529667,-2.890938,-1.638728,-0.273578,-0.195023,-0.364173,9.359282,0.00188,8.585444,0.001724,8.196829,0.001646,0.008891,0.146968,0.057752,0.069923,0.389423,1.0,0.086538,0.524038,1.0,0.538043,0.337823,0.337823,-0.007404,0.003778,0.180911,-0.907262,12.0,2.0,1.0,0.0,0.0,0.0,-1.0,0.587785,-0.809017,32.568879,-1.576154,-0.000911,35.989851,-1.152623,-0.001267,41.644127,-0.812392,-0.000673,2.248643,-0.062574,,,,,,,,
82,2026-03-18 11:02:03.902087,GBPUSD,BUY,1.33576,1.33495,1.3371,0.00067,50.0,macd_crossover,EXECUTED,,,,55790702651.0,,0.00018,0.000315,0.000449,-0.000157,0.000907,-0.000927,1.335422,0.000253,1.335654,7.9e-05,1.335753,5e-06,1.335209,0.000413,1.332793,0.002226,1.33554,1.335645,1.335564,-0.000248,0.000334,0.002221,-7.8e-05,54.660054,51.125912,50.887728,-0.000104,-0.000128,2.4e-05,-0.015719,0.090667,-0.092745,0.000671,0.000502,0.000672,0.000503,0.000651,0.000487,0.002425,0.532726,0.032632,0.03426,0.8,1.0,0.1,0.1,3.0,0.747664,0.498507,0.498507,-0.001258,0.00125,0.099307,-0.891117,13.0,2.0,1.0,1.0,0.0,-0.258819,-0.965926,0.587785,-0.809017,48.832165,-1e-06,0.000135,47.103254,-1.4e-05,0.000135,45.389833,-1.3e-05,-0.000614,2.293747,2.5e-05,,,,,,,,
83,2026-03-18 11:02:04.709233,AUDUSD,SELL,0.71032,0.71106,0.70909,0.00049,41.44,sma_crossover,EXECUTED,,,,55790702829.0,,-4.2e-05,-0.000492,-0.00045,-0.001279,-2.8e-05,-0.002346,0.710758,-0.000616,0.711014,-0.000977,0.711024,-0.00099,0.710539,-0.000308,0.708519,0.002542,0.710753,0.710916,0.710843,-0.000374,0.000669,0.003535,-0.000228,34.864052,41.43767,44.697986,-0.000162,-8.2e-05,-8e-05,-0.127947,-0.002816,-0.234554,0.000449,0.000632,0.000493,0.000694,0.000528,0.000743,0.003214,0.196132,0.044336,0.039968,0.142857,-1.0,0.285714,0.571429,-2.0,0.114035,0.118421,0.165975,-0.00283,0.00038,0.133553,-0.854949,13.0,2.0,1.0,1.0,0.0,-0.258819,-0.965926,0.587785,-0.809017,41.770261,-6.9e-05,-0.00045,45.377733,-4.8e-05,4.2e-05,44.963953,-4.2e-05,-0.000591,-0.332592,-1.1e-05,,,,,,,,
84,2026-03-18 11:17:03.855031,XAUUSD,BUY,4971.16,4961.07449,4986.28827,10.08551,31.16,rsi_reversal,EXECUTED,,,,55791089303.0,,0.000193,0.000664,-0.001354,-0.003528,-0.003292,-0.007495,4982.225,-0.002221,4990.6995,-0.003915,4995.5964,-0.004892,5000.4831,-0.005864,5005.06845,-0.006775,4981.550758,4988.360863,4993.546125,-0.002677,-0.001957,-0.001892,-0.001365,25.036062,31.155863,35.2008,-6.810105,-4.337872,-2.472233,-0.352793,-0.329218,-0.749496,11.719501,0.002357,10.085514,0.002029,9.030808,0.001817,0.010497,0.127002,0.072017,0.061786,0.256,1.0,0.28,0.464,2.0,0.462233,0.317405,0.317405,-0.00908,0.004222,0.242814,-0.880185,13.0,2.0,1.0,1.0,0.0,-0.258819,-0.965926,0.587785,-0.809017,29.809033,-2.577132,0.000471,26.556992,-2.377099,-0.002017,32.568879,-1.576154,-0.000911,1.34683,0.104899,,,,,,,,
85,2026-03-18 11:17:04.568510,AUDUSD,SELL,0.71087,0.71162,0.70962,0.0005,49.03,sma_crossover,EXECUTED,,,,55791089450.0,,0.000225,0.000732,0.000281,-0.000267,7e-05,-0.001867,0.710802,9.6e-05,0.710967,-0.000137,0.711035,-0.000232,0.710564,0.000431,0.708563,0.003255,0.710822,0.710939,0.710858,-0.000328,0.000568,0.003488,-0.000165,51.050442,49.029286,49.574875,-0.000117,-8.4e-05,-3.3e-05,-0.026721,0.007034,-0.186745,0.000466,0.000655,0.0005,0.000703,0.000531,0.000747,0.002703,0.44926,0.043174,0.041221,0.615385,1.0,0.076923,0.307692,2.0,0.59292,0.383178,0.394191,-0.001857,0.001154,0.16466,-0.863753,13.0,2.0,1.0,1.0,0.0,-0.258819,-0.965926,0.587785,-0.809017,46.885978,-5.5e-05,0.000507,41.770261,-6.9e-05,-0.00045,45.377733,-4.8e-05,4.2e-05,2.143308,2.2e-05,,,,,,,,
86,2026-03-18 11:32:04.824136,GBPUSD,SELL,1.3354300000000001,1.33621,1.33151,0.00078,48.86,sma_crossover,EXECUTED,,,,55791439302.0,,0.000479,-0.000838,-6.7e-05,0.000202,0.000869,-0.001047,1.335597,-0.000125,1.335491,-4.6e-05,1.33574,-0.000232,1.335261,0.000126,1.332899,0.001899,1.335513,1.33562,1.335558,-0.000107,0.000172,0.002131,-8.1e-05,48.863737,48.618804,49.013466,-0.000108,-0.000113,5e-06,0.020222,0.086939,-0.104725,0.00101,0.000756,0.000859,0.000643,0.000751,0.000562,0.002055,0.477771,0.049984,0.043284,0.719101,1.0,0.067416,0.213483,1.0,0.409894,0.445183,0.4,-0.001251,0.001003,0.487172,-0.756916,13.0,2.0,1.0,1.0,0.0,-0.258819,-0.965926,0.587785,-0.809017,43.874843,6e-06,-0.001317,57.410375,7.4e-05,0.000771,48.832165,-1e-06,0.000135,4.743961,-1e-06,,,,,,,,
87,2026-03-18 11:32:05.786621,XAUUSD,BUY,4957.55,4945.74661,4975.25508,11.80339,30.34,rsi_reversal,EXECUTED,,,,55791439731.0,,0.001853,-0.002545,-0.002075,-0.004996,-0.005774,-0.010718,4977.068,-0.003922,4986.875,-0.00588,4994.3096,-0.00736,4999.6873,-0.008428,5004.7786,-0.009437,4974.89289,4984.516163,4991.276212,-0.003452,-0.002563,-0.002092,-0.001931,28.228641,30.338086,33.223193,-9.623273,-5.685705,-3.937567,-0.499554,-0.577377,-1.071786,14.678348,0.002961,11.803386,0.002381,9.957846,0.002009,0.013079,0.050381,0.137358,0.10004,0.765442,1.0,0.050083,0.184474,1.0,0.230318,0.165431,0.16227,-0.01158,0.002295,0.358802,-0.795614,13.0,2.0,1.0,1.0,0.0,-0.258819,-0.965926,0.587785,-0.809017,20.633927,-3.925999,-0.00439,29.809033,-2.577132,0.000471,26.556992,-2.377099,-0.002017,9.704159,-0.011568,,,,,,,,
